time_utc,liquid_mm,showers_frac,snowfall_cm,snow_depth_m,temperature_c,wind_ms,gust_ms,wind_dir_deg,cloud_cover,visibility_m,is_day,soil_moisture,cape,pbl_m,cin_missing,thunder_score,weather_code,audible,rain_field_only,event_id,run_elapsed,run_remaining,gap_to_next,burstiness,character
2026-01-14T00:00,0.0,0.0,0.0,0.01,-20.9,2.91,5.3,231,0,27940.0,1,0.151,0.0,145.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T01:00,0.0,0.0,0.0,0.01,-19.6,2.34,5.2,230,34,29140.0,1,0.151,0.0,200.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T02:00,0.0,0.0,0.0,0.01,-17.3,2.14,4.8,237,11,30180.0,1,0.151,0.0,250.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T03:00,0.0,0.0,0.0,0.01,-15.3,1.88,5.0,241,1,31420.0,1,0.151,0.0,325.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T04:00,0.0,0.0,0.0,0.01,-13.7,2.09,5.0,237,0,33360.0,1,0.151,0.0,460.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T05:00,0.0,0.0,0.0,0.01,-12.6,1.79,5.2,243,26,33980.0,1,0.151,0.0,495.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T06:00,0.0,0.0,0.0,0.01,-11.2,1.95,4.3,220,29,34480.0,1,0.151,0.0,465.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T07:00,0.0,0.0,0.0,0.01,-12.1,0.4,4.2,210,5,34680.0,1,0.151,0.0,430.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T08:00,0.0,0.0,0.0,0.01,-14.0,0.69,1.3,60,98,34480.0,1,0.151,0.0,40.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T09:00,0.0,0.0,0.0,0.01,-14.3,2.0,3.7,68,100,32200.0,0,0.151,0.0,60.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T10:00,0.0,0.0,0.0,0.01,-14.1,2.69,5.1,72,100,25220.0,0,0.151,0.0,100.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T11:00,0.0,0.0,0.0,0.01,-14.3,2.33,5.2,80,100,20280.0,0,0.151,0.0,115.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T12:00,0.0,0.0,0.0,0.01,-15.0,2.63,4.4,76,100,18400.0,0,0.151,0.0,115.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T13:00,0.0,0.0,0.0,0.01,-14.9,1.96,4.9,75,100,13640.0,0,0.151,0.0,115.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T14:00,0.0,0.0,0.07,0.01,-15.0,1.95,3.8,61,100,11980.0,0,0.151,0.0,110.0,1,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T15:00,0.0,0.0,0.07,0.01,-15.2,2.23,4.2,42,100,13360.0,0,0.151,0.0,105.0,1,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T16:00,0.0,0.0,0.07,0.01,-15.3,3.25,6.1,31,100,10660.0,0,0.151,0.0,145.0,1,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T17:00,0.0,0.0,0.07,0.01,-16.1,3.55,6.9,32,100,14900.0,0,0.151,0.0,195.0,1,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T18:00,0.0,0.0,0.07,0.02,-17.1,2.25,6.6,32,100,11380.0,0,0.151,0.0,190.0,1,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T19:00,0.0,0.0,0.07,0.02,-17.3,2.27,4.5,40,100,12000.0,0,0.151,0.0,205.0,1,0.0,71,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T20:00,0.0,0.0,0.0,0.02,-17.5,2.57,5.0,37,100,20540.0,0,0.151,0.0,225.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T21:00,0.0,0.0,0.0,0.02,-18.3,2.92,6.0,38,99,27980.0,0,0.151,0.0,235.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T22:00,0.0,0.0,0.0,0.02,-19.6,2.9,5.6,36,100,25620.0,0,0.151,0.0,225.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-14T23:00,0.0,0.0,0.0,0.02,-19.8,2.67,5.6,30,31,25320.0,0,0.151,0.0,240.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T00:00,0.0,0.0,0.0,0.01,-20.2,2.77,5.1,17,39,25220.0,1,0.151,0.0,215.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T01:00,0.0,0.0,0.0,0.01,-19.4,2.45,5.2,4,27,27420.0,1,0.151,0.0,255.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T02:00,0.0,0.0,0.0,0.01,-18.2,2.5,5.7,358,28,28680.0,1,0.151,0.0,350.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T03:00,0.0,0.0,0.0,0.01,-17.2,3.0,6.7,1,30,29720.0,1,0.151,0.0,420.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T04:00,0.0,0.0,0.0,0.01,-16.4,3.15,7.1,2,10,29720.0,1,0.151,0.0,485.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T05:00,0.0,0.0,0.0,0.01,-15.9,3.15,7.1,360,12,29720.0,1,0.151,0.0,550.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T06:00,0.0,0.0,0.0,0.01,-15.5,3.17,7.1,344,14,29720.0,1,0.151,0.0,585.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T07:00,0.0,0.0,0.0,0.01,-15.9,2.82,6.9,343,0,29700.0,1,0.151,0.0,620.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T08:00,0.0,0.0,0.0,0.01,-16.5,2.23,6.3,340,0,29700.0,1,0.151,0.0,595.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T09:00,0.0,0.0,0.0,0.01,-17.9,1.75,4.6,336,0,28660.0,0,0.151,0.0,315.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T10:00,0.0,0.0,0.0,0.01,-19.0,1.72,3.5,334,0,28640.0,0,0.151,0.0,215.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T11:00,0.0,0.0,0.0,0.01,-19.3,1.86,3.7,333,0,27380.0,0,0.151,0.0,195.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T12:00,0.0,0.0,0.0,0.01,-18.9,2.31,3.9,321,0,27380.0,0,0.151,0.0,155.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T13:00,0.0,0.0,0.0,0.01,-19.8,2.0,4.3,328,0,27360.0,0,0.151,0.0,155.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T14:00,0.0,0.0,0.0,0.01,-20.8,1.63,3.9,333,0,25160.0,0,0.151,0.0,140.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T15:00,0.0,0.0,0.0,0.01,-22.1,1.43,3.2,331,0,25160.0,0,0.151,0.0,125.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T16:00,0.0,0.0,0.0,0.01,-22.6,1.11,2.7,324,0,25160.0,0,0.151,0.0,90.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T17:00,0.0,0.0,0.0,0.01,-22.9,1.12,2.1,333,16,23460.0,0,0.151,0.0,80.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T18:00,0.0,0.0,0.0,0.01,-22.3,1.16,2.3,335,48,25140.0,0,0.151,0.0,75.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T19:00,0.0,0.0,0.0,0.01,-23.6,0.93,2.1,324,18,25140.0,0,0.151,0.0,65.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T20:00,0.0,0.0,0.0,0.01,-23.7,0.6,1.9,294,0,25140.0,0,0.151,0.0,45.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T21:00,0.0,0.0,0.0,0.01,-24.1,0.75,1.5,274,0,23440.0,0,0.151,0.0,45.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T22:00,0.0,0.0,0.0,0.01,-24.3,0.9,1.8,273,0,23440.0,0,0.151,0.0,50.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-15T23:00,0.0,0.0,0.0,0.01,-24.2,0.7,1.8,274,68,23440.0,0,0.151,0.0,45.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T00:00,0.0,0.0,0.0,0.01,-22.2,1.47,1.8,260,100,21220.0,1,0.151,0.0,65.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T01:00,0.0,0.0,0.0,0.01,-20.3,1.11,2.8,252,88,24180.0,1,0.151,0.0,115.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T02:00,0.0,0.0,0.0,0.01,-18.4,1.17,2.9,250,76,26740.0,1,0.151,0.0,180.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T03:00,0.0,0.0,0.0,0.01,-16.7,1.53,3.9,259,100,24040.0,1,0.151,0.0,260.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T04:00,0.0,0.0,0.0,0.01,-15.4,1.61,4.0,275,100,22320.0,1,0.151,0.0,350.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T05:00,0.0,0.0,0.0,0.01,-14.5,1.94,4.8,282,99,19560.0,1,0.151,0.0,555.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T06:00,0.0,0.0,0.0,0.01,-13.7,2.33,5.0,280,91,22460.0,1,0.151,0.0,655.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T07:00,0.0,0.0,0.0,0.01,-14.0,2.04,5.2,281,99,22780.0,1,0.151,0.0,650.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T08:00,0.0,0.0,0.0,0.01,-14.8,1.72,4.8,278,77,26520.0,1,0.151,0.0,560.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T09:00,0.0,0.0,0.0,0.01,-16.9,1.75,3.6,268,73,28520.0,0,0.151,0.0,150.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T10:00,0.0,0.0,0.0,0.01,-17.6,1.9,3.4,267,95,27020.0,0,0.151,0.0,105.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T11:00,0.0,0.0,0.0,0.01,-17.0,2.76,5.0,274,16,27260.0,0,0.151,0.0,170.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T12:00,0.0,0.0,0.0,0.01,-16.8,2.93,5.1,262,1,27260.0,0,0.151,0.0,165.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T13:00,0.0,0.0,0.0,0.01,-17.7,2.58,5.3,252,4,27260.0,0,0.151,0.0,125.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T14:00,0.0,0.0,0.0,0.01,-17.7,3.75,6.6,254,2,27260.0,0,0.151,0.0,250.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T15:00,0.0,0.0,0.0,0.01,-17.8,3.88,7.5,285,0,28500.0,0,0.151,0.0,365.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T16:00,0.0,0.0,0.0,0.01,-18.3,3.42,7.3,295,0,28500.0,0,0.151,0.0,315.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T17:00,0.0,0.0,0.0,0.01,-19.2,3.08,6.2,290,0,27240.0,0,0.151,0.0,260.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T18:00,0.0,0.0,0.0,0.01,-20.2,3.16,5.6,274,0,27240.0,0,0.151,0.0,260.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T19:00,0.0,0.0,0.0,0.01,-21.0,3.35,6.1,269,0,27240.0,0,0.151,0.0,260.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T20:00,0.0,0.0,0.0,0.01,-21.5,3.4,6.2,270,0,27240.0,0,0.151,0.0,270.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T21:00,0.0,0.0,0.0,0.01,-21.9,3.3,6.2,267,0,27240.0,0,0.151,0.0,260.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T22:00,0.0,0.0,0.0,0.01,-22.3,3.16,6.0,265,0,27240.0,0,0.151,0.0,250.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-16T23:00,0.0,0.0,0.0,0.01,-22.6,3.06,5.8,264,0,27220.0,0,0.151,0.0,225.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T00:00,0.0,0.0,0.0,0.01,-21.7,3.26,5.6,259,0,28480.0,1,0.151,0.0,205.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T01:00,0.0,0.0,0.0,0.01,-20.1,2.72,6.1,257,0,29520.0,1,0.151,0.0,290.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T02:00,0.0,0.0,0.0,0.01,-18.4,3.23,7.3,262,0,30360.0,1,0.151,0.0,450.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T03:00,0.0,0.0,0.0,0.01,-17.0,3.7,8.5,269,0,30360.0,1,0.151,0.0,720.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T04:00,0.0,0.0,0.0,0.01,-16.2,3.91,9.0,274,0,31860.0,1,0.151,0.0,880.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T05:00,0.0,0.0,0.0,0.0,-15.7,4.06,9.3,274,0,31860.0,1,0.151,0.0,990.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T06:00,0.0,0.0,0.0,0.0,-15.7,3.77,9.3,275,0,31860.0,1,0.151,0.0,995.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T07:00,0.0,0.0,0.0,0.0,-15.8,3.41,8.3,273,0,31860.0,1,0.151,0.0,985.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T08:00,0.0,0.0,0.0,0.0,-16.5,2.61,7.4,266,0,30360.0,1,0.151,0.0,905.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T09:00,0.0,0.0,0.0,0.0,-18.4,1.7,4.9,246,0,29500.0,0,0.151,0.0,145.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T10:00,0.0,0.0,0.0,0.0,-18.9,1.79,3.3,234,46,29500.0,0,0.151,0.0,110.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T11:00,0.0,0.0,0.0,0.0,-19.0,1.98,3.8,229,100,29500.0,0,0.151,0.0,110.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T12:00,0.0,0.0,0.0,0.0,-18.3,2.59,4.1,221,99,28460.0,0,0.151,0.0,165.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T13:00,0.0,0.0,0.0,0.0,-18.3,2.3,4.7,228,100,28460.0,0,0.151,0.0,170.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T14:00,0.0,0.0,0.0,0.0,-18.5,2.14,4.2,233,99,28460.0,0,0.151,0.0,155.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T15:00,0.0,0.0,0.0,0.0,-18.9,2.15,4.0,239,99,28440.0,0,0.151,0.0,145.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T16:00,0.0,0.0,0.0,0.0,-19.1,2.04,3.9,259,57,28440.0,0,0.151,0.0,145.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T17:00,0.0,0.0,0.0,0.0,-20.3,1.76,3.7,265,18,27180.0,0,0.151,0.0,125.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T18:00,0.0,0.0,0.0,0.0,-20.8,2.21,3.4,266,64,27180.0,0,0.151,0.0,165.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T19:00,0.0,0.0,0.0,0.0,-21.5,2.1,4.1,273,84,28440.0,0,0.151,0.0,160.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T20:00,0.0,0.0,0.0,0.0,-21.8,1.99,3.9,282,63,28440.0,0,0.151,0.0,185.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T21:00,0.0,0.0,0.0,0.0,-22.3,1.9,3.8,297,85,28440.0,0,0.151,0.0,195.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T22:00,0.0,0.0,0.0,0.0,-22.7,1.78,3.7,302,99,28400.0,0,0.151,0.0,185.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-17T23:00,0.0,0.0,0.0,0.0,-22.9,1.51,3.5,304,72,27160.0,0,0.151,0.0,170.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T00:00,0.0,0.0,0.0,0.01,-21.8,1.98,3.4,304,73,27160.0,1,0.151,0.0,145.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T01:00,0.0,0.0,0.0,0.01,-21.3,1.44,3.6,304,34,28420.0,1,0.151,0.0,195.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T02:00,0.0,0.0,0.0,0.01,-20.0,1.56,3.9,310,37,29460.0,1,0.151,0.0,270.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T03:00,0.0,0.0,0.0,0.01,-18.9,1.8,4.5,314,2,30320.0,1,0.151,0.0,420.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T04:00,0.0,0.0,0.0,0.01,-18.0,2.26,5.5,313,2,30300.0,1,0.151,0.0,575.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T05:00,0.0,0.0,0.0,0.01,-17.6,2.23,5.6,310,0,30300.0,1,0.151,0.0,645.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T06:00,0.0,0.0,0.0,0.01,-17.3,2.37,5.4,295,0,30300.0,1,0.151,0.0,670.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T07:00,0.0,0.0,0.0,0.01,-17.9,2.0,5.4,292,0,30300.0,1,0.151,0.0,635.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T08:00,0.0,0.0,0.0,0.01,-18.3,2.03,5.5,286,0,30300.0,1,0.151,0.0,430.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T09:00,0.0,0.0,0.0,0.01,-19.6,1.83,3.8,296,0,29440.0,0,0.151,0.0,180.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T10:00,0.0,0.0,0.0,0.01,-20.7,1.53,3.4,289,0,29440.0,0,0.151,0.0,95.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T11:00,0.0,0.0,0.0,0.01,-21.3,1.66,3.0,263,0,29440.0,0,0.151,0.0,80.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T12:00,0.0,0.0,0.0,0.01,-21.5,2.1,3.4,270,0,28400.0,0,0.151,0.0,125.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T13:00,0.0,0.0,0.0,0.01,-22.3,1.53,4.1,281,0,28400.0,0,0.151,0.0,75.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T14:00,0.0,0.0,0.0,0.01,-22.9,1.04,2.6,253,1,28400.0,0,0.151,0.0,45.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T15:00,0.0,0.0,0.0,0.01,-23.3,1.47,2.7,215,12,28380.0,0,0.151,0.0,50.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T16:00,0.0,0.0,0.0,0.01,-22.8,2.02,3.5,220,3,28380.0,0,0.151,0.0,75.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T17:00,0.0,0.0,0.0,0.01,-22.9,2.59,4.6,236,9,28380.0,0,0.151,0.0,135.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T18:00,0.0,0.0,0.0,0.01,-23.4,3.01,5.0,255,19,27120.0,0,0.151,0.0,265.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T19:00,0.0,0.0,0.0,0.01,-24.0,3.05,5.6,270,17,27120.0,0,0.151,0.0,285.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T20:00,0.0,0.0,0.0,0.01,-24.4,3.07,5.9,289,2,27100.0,0,0.151,0.0,310.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T21:00,0.0,0.0,0.0,0.01,-24.8,2.91,5.7,282,22,27100.0,0,0.151,0.0,310.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T22:00,0.0,0.0,0.0,0.01,-25.0,2.99,5.5,280,21,27000.0,0,0.151,0.0,305.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-18T23:00,0.0,0.0,0.0,0.01,-25.2,3.11,5.7,274,34,26840.0,0,0.151,0.0,300.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T00:00,0.0,0.0,0.0,0.01,-24.5,3.5,6.1,268,53,26260.0,1,0.151,0.0,325.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T01:00,0.0,0.0,0.0,0.01,-23.3,3.66,7.9,274,73,28260.0,1,0.151,0.0,415.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T02:00,0.0,0.0,0.0,0.01,-22.0,3.83,8.6,277,97,26240.0,1,0.151,0.0,485.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T03:00,0.0,0.0,0.0,0.01,-20.9,4.16,9.4,280,89,28240.0,1,0.151,0.0,555.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T04:00,0.0,0.0,0.0,0.01,-19.9,4.26,9.8,279,92,28060.0,1,0.151,0.0,590.0,1,0.0,3,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T05:00,0.0,0.0,0.0,0.01,-19.2,4.26,9.7,283,60,30200.0,1,0.151,0.0,630.0,1,0.0,2,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T06:00,0.0,0.0,0.0,0.01,-19.4,4.53,9.8,277,23,29400.0,1,0.151,0.0,720.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T07:00,0.0,0.0,0.0,0.01,-19.2,4.41,9.9,274,47,29400.0,1,0.151,0.0,760.0,1,0.0,1,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T08:00,0.0,0.0,0.0,0.01,-19.5,3.85,9.3,271,4,29400.0,1,0.151,0.0,785.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T09:00,0.0,0.0,0.0,0.01,-20.2,3.49,7.5,261,16,28340.0,0,0.151,0.0,535.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T10:00,0.0,0.0,0.0,0.01,-20.7,3.46,6.7,252,15,28340.0,0,0.151,0.0,360.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T11:00,0.0,0.0,0.0,0.01,-21.0,3.5,6.5,248,13,28340.0,0,0.151,0.0,270.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T12:00,0.0,0.0,0.0,0.01,-21.3,3.83,6.6,246,6,28340.0,0,0.151,0.0,280.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T13:00,0.0,0.0,0.0,0.01,-21.4,3.91,7.2,249,4,28340.0,0,0.151,0.0,285.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T14:00,0.0,0.0,0.0,0.01,-21.4,3.87,7.3,256,0,28340.0,0,0.151,0.0,305.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T15:00,0.0,0.0,0.0,0.01,-21.4,3.81,7.2,267,2,28340.0,0,0.151,0.0,295.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T16:00,0.0,0.0,0.0,0.01,-21.6,3.46,7.1,274,2,28320.0,0,0.151,0.0,260.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T17:00,0.0,0.0,0.0,0.01,-22.0,3.26,6.4,274,0,28320.0,0,0.151,0.0,240.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T18:00,0.0,0.0,0.0,0.01,-22.5,3.45,6.1,271,0,28320.0,0,0.151,0.0,265.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T19:00,0.0,0.0,0.0,0.01,-23.1,3.2,6.4,273,0,27040.0,0,0.151,0.0,240.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T20:00,0.0,0.0,0.0,0.01,-23.5,2.9,5.9,271,0,27040.0,0,0.151,0.0,210.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
2026-01-19T21:00,0.0,0.0,0.0,0.01,-23.8,2.75,5.4,268,0,27040.0,0,0.151,0.0,180.0,1,0.0,0,0,0.0,-1,-1,-1,-1,0.0,0.0
