time_utc,precipitation,rain,showers,snowfall,snowfall_water_equivalent,snow_depth,weather_code,cape,convective_inhibition,boundary_layer_height,temperature_2m,wind_speed_10m,wind_gusts_10m,wind_direction_10m,cloud_cover,visibility,is_day,soil_moisture_0_to_7cm
2026-01-14T00:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,65.0,10.4,2.11,3.5,95,0,10360.0,1,0.349
2026-01-14T01:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.0,100.0,12.4,1.75,3.9,92,0,12240.0,1,0.349
2026-01-14T02:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,185.0,15.3,1.32,3.8,99,0,16100.0,1,0.348
2026-01-14T03:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,375.0,18.2,1.48,4.3,114,0,17740.0,1,0.347
2026-01-14T04:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,740.0,20.4,1.91,5.1,137,0,19120.0,1,0.344
2026-01-14T05:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,1060.0,22.1,2.73,6.4,154,0,19120.0,1,0.341
2026-01-14T06:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,1280.0,22.9,3.14,7.2,166,0,20340.0,1,0.337
2026-01-14T07:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,1395.0,23.1,3.21,7.1,169,0,20340.0,1,0.333
2026-01-14T08:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,7.0,1640.0,23.2,2.95,7.0,182,52,20340.0,1,0.33
2026-01-14T09:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,1065.0,22.3,1.58,6.1,162,16,19160.0,1,0.329
2026-01-14T10:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,7.0,205.0,20.8,2.09,3.4,130,29,19160.0,1,0.329
2026-01-14T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,215.0,18.9,3.57,6.3,149,17,17780.0,0,0.328
2026-01-14T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7.0,170.0,18.1,2.87,6.3,167,98,19180.0,0,0.328
2026-01-14T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7.0,170.0,18.2,2.07,5.0,172,100,19180.0,0,0.328
2026-01-14T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,7.0,120.0,17.7,1.48,3.7,156,100,19180.0,0,0.328
2026-01-14T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,7.0,85.0,17.5,1.38,2.5,134,100,19180.0,0,0.328
2026-01-14T16:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,6.0,60.0,17.0,1.12,2.5,111,78,17800.0,0,0.328
2026-01-14T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,30.0,0.0,40.0,16.5,0.79,1.9,125,100,17820.0,0,0.328
2026-01-14T18:00,0.0,0.0,0.0,0.0,0.0,0.0,1,40.0,2.0,90.0,16.8,1.93,1.9,163,38,17820.0,0,0.328
2026-01-14T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,30.0,4.0,55.0,15.5,1.27,3.3,116,1,17820.0,0,0.328
2026-01-14T20:00,0.0,0.0,0.0,0.0,0.0,0.0,0,40.0,48.0,45.0,14.7,1.33,2.3,103,8,16200.0,0,0.328
2026-01-14T21:00,0.0,0.0,0.0,0.0,0.0,0.0,1,40.0,53.0,15.0,14.7,0.25,2.1,37,46,16200.0,0,0.328
2026-01-14T22:00,0.0,0.0,0.0,0.0,0.0,0.0,2,40.0,46.0,25.0,14.4,0.55,0.9,355,52,16200.0,0,0.329
2026-01-14T23:00,0.0,0.0,0.0,0.0,0.0,0.0,0,30.0,42.0,25.0,13.8,0.96,1.6,28,19,16220.0,0,0.329
2026-01-15T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,70.0,21.0,35.0,14.6,1.3,1.5,74,99,13820.0,1,0.329
2026-01-15T01:00,0.0,0.0,0.0,0.0,0.0,0.0,1,50.0,18.0,75.0,16.0,1.41,2.9,63,21,16220.0,1,0.329
2026-01-15T02:00,0.0,0.0,0.0,0.0,0.0,0.0,1,30.0,22.0,250.0,18.3,1.1,3.4,95,23,16160.0,1,0.328
2026-01-15T03:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8.0,545.0,19.9,0.76,3.4,169,46,16240.0,1,0.327
2026-01-15T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,16.0,945.0,21.6,1.75,4.8,204,100,17880.0,1,0.325
2026-01-15T05:00,0.0,0.0,0.0,0.0,0.0,0.0,2,20.0,11.0,1135.0,22.3,1.49,4.8,222,50,17880.0,1,0.323
2026-01-15T06:00,0.0,0.0,0.0,0.0,0.0,0.0,1,30.0,4.0,1065.0,22.6,1.46,4.6,248,32,9480.0,1,0.32
2026-01-15T07:00,0.1,0.1,0.0,0.0,0.0,0.0,51,20.0,0.0,1025.0,23.1,2.02,5.1,250,27,9840.0,1,0.319
2026-01-15T08:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,0.0,1070.0,23.2,1.66,5.1,277,55,19300.0,1,0.317
2026-01-15T09:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,5.0,790.0,22.8,1.49,4.2,320,33,19300.0,1,0.316
2026-01-15T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,10.0,,130.0,21.2,2.25,3.8,357,2,17920.0,1,0.315
2026-01-15T11:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,,75.0,19.2,2.46,4.9,6,33,16280.0,0,0.315
2026-01-15T12:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,43.0,55.0,18.2,1.77,4.1,47,22,16280.0,0,0.319
2026-01-15T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,35.0,17.3,1.13,2.9,77,9,13880.0,0,0.319
2026-01-15T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,40.0,17.0,1.29,2.0,144,7,13880.0,0,0.319
2026-01-15T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,80.0,16.9,1.84,3.0,158,10,12400.0,0,0.32
2026-01-15T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,135.0,16.7,1.88,3.2,158,8,12400.0,0,0.32
2026-01-15T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,135.0,16.3,1.91,3.3,160,14,12400.0,0,0.321
2026-01-15T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,130.0,15.9,2.03,3.3,164,15,12400.0,0,0.316
2026-01-15T19:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,12.0,120.0,15.9,1.64,3.5,168,22,12400.0,0,0.316
2026-01-15T20:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,12.0,80.0,15.4,0.75,2.7,176,33,12400.0,0,0.317
2026-01-15T21:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0.0,55.0,15.3,0.65,1.2,148,36,12420.0,0,0.317
2026-01-15T22:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,14.0,70.0,15.0,1.06,1.7,135,99,10500.0,0,0.317
2026-01-15T23:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,14.0,80.0,15.7,0.86,2.0,126,100,12420.0,0,0.318
2026-01-16T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.0,70.0,16.0,1.33,2.2,110,100,10500.0,1,0.322
2026-01-16T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1.0,200.0,16.8,1.49,2.7,110,100,12420.0,1,0.323
2026-01-16T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2.0,275.0,18.0,1.34,3.1,135,100,13940.0,1,0.323
2026-01-16T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,4.0,360.0,19.5,1.61,3.9,150,100,16360.0,1,0.322
2026-01-16T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,6.0,570.0,21.2,1.89,4.7,168,100,16360.0,1,0.321
2026-01-16T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,8.0,1075.0,22.9,2.53,5.6,198,100,18020.0,1,0.319
2026-01-16T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,3.0,1235.0,23.3,2.53,6.7,202,100,19440.0,1,0.317
2026-01-16T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,2.0,1025.0,23.1,2.97,6.1,193,100,18040.0,1,0.316
2026-01-16T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,15.0,990.0,23.1,2.4,6.2,184,82,18040.0,1,0.314
2026-01-16T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,10.0,925.0,22.9,1.67,4.9,171,88,18040.0,1,0.313
2026-01-16T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,13.0,135.0,22.0,0.72,3.4,146,100,18060.0,1,0.313
2026-01-16T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,22.0,130.0,21.3,1.72,2.6,120,97,18060.0,0,0.313
2026-01-16T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,24.0,230.0,20.1,2.34,5.1,130,100,13980.0,0,0.313
2026-01-16T13:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,27.0,330.0,19.8,2.54,4.5,144,59,13980.0,0,0.313
2026-01-16T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,29.0,235.0,19.2,2.27,4.6,139,97,12480.0,0,0.313
2026-01-16T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,31.0,200.0,18.8,1.75,4.0,127,100,12480.0,0,0.314
2026-01-16T16:00,0.2,0.0,0.2,0.0,0.0,0.0,51,30.0,0.0,220.0,18.4,1.91,3.3,139,84,8320.0,0,0.316
2026-01-16T17:00,0.9,0.1,0.8,0.0,0.0,0.0,53,60.0,5.0,125.0,17.8,1.11,3.4,82,66,6220.0,0,0.328
2026-01-16T18:00,2.1,0.1,2.0,0.0,0.0,0.0,80,50.0,9.0,55.0,16.6,0.76,2.8,98,99,4560.0,0,0.359
2026-01-16T19:00,0.7,0.2,0.5,0.0,0.0,0.0,53,70.0,6.0,105.0,17.2,1.39,2.3,142,93,3040.0,0,0.368
2026-01-16T20:00,0.3,0.0,0.3,0.0,0.0,0.0,51,0.0,19.0,80.0,16.9,0.9,2.5,90,100,3420.0,0,0.373
2026-01-16T21:00,0.2,0.0,0.2,0.0,0.0,0.0,51,10.0,2.0,110.0,17.2,1.74,3.0,63,100,4420.0,0,0.375
2026-01-16T22:00,0.1,0.0,0.1,0.0,0.0,0.0,51,50.0,0.0,115.0,17.3,1.42,3.7,32,100,4800.0,0,0.376
2026-01-16T23:00,0.1,0.1,0.0,0.0,0.0,0.0,51,20.0,19.0,105.0,17.3,1.3,2.3,74,100,5820.0,0,0.378
2026-01-17T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,120.0,1.0,65.0,17.0,1.2,3.2,88,98,6260.0,1,0.32
2026-01-17T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,110.0,3.0,135.0,18.0,1.62,3.5,68,100,6360.0,1,0.32
2026-01-17T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,140.0,1.0,245.0,19.0,1.65,4.1,90,99,6900.0,1,0.32
2026-01-17T03:00,0.1,0.1,0.0,0.0,0.0,0.0,51,120.0,0.0,440.0,20.2,2.57,5.6,103,100,9140.0,1,0.32
2026-01-17T04:00,0.1,0.1,0.0,0.0,0.0,0.0,51,120.0,0.0,475.0,20.6,2.17,6.0,109,99,7660.0,1,0.32
2026-01-17T05:00,0.1,0.1,0.0,0.0,0.0,0.0,51,140.0,0.0,560.0,21.3,1.24,4.9,140,70,6120.0,1,0.32
2026-01-17T06:00,0.2,0.2,0.0,0.0,0.0,0.0,51,80.0,3.0,660.0,21.9,1.1,4.1,156,46,6600.0,1,0.32
2026-01-17T07:00,0.3,0.2,0.1,0.0,0.0,0.0,51,70.0,5.0,710.0,22.4,1.53,4.3,191,92,7520.0,1,0.321
2026-01-17T08:00,0.1,0.0,0.1,0.0,0.0,0.0,51,120.0,2.0,660.0,22.4,1.08,4.3,202,52,15260.0,1,0.321
2026-01-17T09:00,0.0,0.0,0.0,0.0,0.0,0.0,1,120.0,4.0,595.0,22.4,0.89,3.2,207,25,16440.0,1,0.32
2026-01-17T10:00,0.0,0.0,0.0,0.0,0.0,0.0,0,130.0,9.0,45.0,21.7,0.35,2.5,188,17,13440.0,1,0.32
2026-01-17T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,100.0,19.0,25.0,20.3,0.54,0.7,112,18,14420.0,0,0.32
2026-01-17T12:00,0.0,0.0,0.0,0.0,0.0,0.0,1,90.0,46.0,70.0,18.9,1.78,2.0,148,25,9940.0,0,0.332
2026-01-17T13:00,0.0,0.0,0.0,0.0,0.0,0.0,1,80.0,29.0,35.0,18.2,0.76,2.9,113,20,10360.0,0,0.333
2026-01-17T14:00,0.0,0.0,0.0,0.0,0.0,0.0,1,80.0,16.0,35.0,17.4,0.95,1.3,93,25,7020.0,0,0.333
2026-01-17T15:00,0.0,0.0,0.0,0.0,0.0,0.0,1,70.0,32.0,50.0,17.1,1.52,2.9,107,39,7040.0,0,0.333
2026-01-17T16:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,27.0,50.0,16.1,1.23,2.7,122,57,7060.0,0,0.333
2026-01-17T17:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,23.0,45.0,15.6,1.15,2.0,108,77,7060.0,0,0.333
2026-01-17T18:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,19.0,30.0,15.8,0.57,1.8,105,49,1380.0,0,0.332
2026-01-17T19:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2.0,30.0,15.2,0.62,0.9,76,99,260.0,0,0.332
2026-01-17T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2.0,35.0,15.0,0.95,1.7,87,100,160.0,0,0.332
2026-01-17T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,2.0,55.0,15.2,1.11,2.2,98,100,140.0,0,0.332
2026-01-17T22:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1.0,60.0,15.2,0.76,2.2,101,100,120.0,0,0.333
2026-01-17T23:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,1.0,65.0,15.3,0.53,2.0,139,100,100.0,0,0.333
2026-01-18T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,2.0,55.0,15.5,0.72,1.9,146,100,80.0,1,0.334
2026-01-18T01:00,0.0,0.0,0.0,0.0,0.0,0.0,3,30.0,2.0,70.0,16.1,1.05,3.4,155,100,80.0,1,0.334
2026-01-18T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,4.0,60.0,17.0,1.21,3.8,142,100,100.0,1,0.334
2026-01-18T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,6.0,185.0,18.3,1.37,3.9,147,100,3240.0,1,0.335
2026-01-18T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,8.0,295.0,19.1,1.68,4.0,157,100,9880.0,1,0.334
2026-01-18T05:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,11.0,530.0,20.5,2.19,4.7,169,98,16500.0,1,0.334
2026-01-18T06:00,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0,2.0,1040.0,22.7,2.82,5.8,173,46,18160.0,1,0.333
2026-01-18T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,1.0,1125.0,23.6,3.26,7.0,175,84,19580.0,1,0.33
2026-01-18T08:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,1.0,1165.0,23.7,3.53,7.6,162,55,19580.0,1,0.327
2026-01-18T09:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,7.0,1015.0,23.2,3.19,7.7,166,38,19580.0,1,0.325
2026-01-18T10:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8.0,415.0,21.8,2.41,6.1,167,20,18160.0,1,0.324
2026-01-18T11:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,350.0,20.3,3.5,6.1,166,3,18160.0,0,0.324
2026-01-18T12:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,325.0,19.5,4.05,6.5,171,7,18180.0,0,0.322
2026-01-18T13:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,260.0,18.5,3.21,7.1,169,9,18180.0,0,0.321
2026-01-18T14:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,225.0,17.9,3.0,5.6,169,7,18180.0,0,0.321
2026-01-18T15:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,165.0,17.3,2.52,5.3,172,6,18180.0,0,0.321
2026-01-18T16:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,140.0,16.9,2.01,4.4,166,5,18180.0,0,0.32
2026-01-18T17:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,100.0,16.3,2.38,4.0,112,6,16520.0,0,0.32
2026-01-18T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,105.0,15.7,2.32,4.7,109,4,16520.0,0,0.319
2026-01-18T19:00,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8.0,90.0,15.6,2.09,4.0,107,5,14080.0,0,0.319
2026-01-18T20:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,8.0,95.0,15.3,2.26,3.9,103,49,12560.0,0,0.319
2026-01-18T21:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,11.0,105.0,15.4,2.24,3.9,100,100,10620.0,0,0.319
2026-01-18T22:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,8.0,180.0,16.1,2.29,4.1,101,100,9740.0,0,0.319
2026-01-18T23:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,8.0,235.0,16.6,2.51,4.6,103,100,6120.0,0,0.319
2026-01-19T00:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,9.0,170.0,16.7,2.39,4.6,106,100,4560.0,1,0.321
2026-01-19T01:00,0.1,0.1,0.0,0.0,0.0,0.0,51,20.0,25.0,250.0,17.3,2.53,4.6,115,100,3520.0,1,0.322
2026-01-19T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,22.0,305.0,18.2,3.5,6.6,138,100,8020.0,1,0.322
2026-01-19T03:00,0.2,0.1,0.1,0.0,0.0,0.0,51,30.0,13.0,460.0,19.4,3.48,7.5,145,100,10080.0,1,0.323
2026-01-19T04:00,0.1,0.0,0.1,0.0,0.0,0.0,51,40.0,3.0,645.0,20.7,3.46,7.5,149,100,13380.0,1,0.323
2026-01-19T05:00,0.1,0.1,0.0,0.0,0.0,0.0,51,40.0,3.0,665.0,20.7,3.41,7.3,148,98,15840.0,1,0.323
2026-01-19T06:00,0.1,0.0,0.1,0.0,0.0,0.0,51,30.0,1.0,700.0,21.4,3.69,8.1,152,80,7480.0,1,0.322
2026-01-19T07:00,0.2,0.2,0.0,0.0,0.0,0.0,51,20.0,0.0,820.0,22.2,3.55,7.8,158,73,10980.0,1,0.322
2026-01-19T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,40.0,1.0,1015.0,23.0,3.95,8.0,162,91,18220.0,1,0.319
2026-01-19T09:00,0.0,0.0,0.0,0.0,0.0,0.0,1,50.0,0.0,1020.0,22.8,4.19,8.0,160,41,18220.0,1,0.318
2026-01-19T10:00,0.0,0.0,0.0,0.0,0.0,0.0,1,40.0,19.0,665.0,21.6,3.58,7.9,165,41,16560.0,1,0.317
2026-01-19T11:00,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0,29.0,480.0,20.3,3.09,6.7,166,27,16480.0,0,0.317
2026-01-19T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,20.0,20.0,330.0,19.7,2.84,5.6,166,83,14120.0,0,0.317
2026-01-19T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,22.0,320.0,19.5,2.59,5.0,155,91,14120.0,0,0.317
2026-01-19T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,24.0,300.0,19.2,2.46,4.6,153,86,14120.0,0,0.317
2026-01-19T15:00,0.0,0.0,0.0,0.0,0.0,0.0,2,0.0,25.0,225.0,18.4,2.2,4.4,141,55,12600.0,0,0.317
2026-01-19T16:00,0.0,0.0,0.0,0.0,0.0,0.0,1,10.0,25.0,210.0,17.9,2.67,4.6,128,48,10640.0,0,0.317
2026-01-19T17:00,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0,11.0,260.0,17.7,2.8,4.8,125,31,10600.0,0,0.317
2026-01-19T18:00,0.0,0.0,0.0,0.0,0.0,0.0,0,50.0,19.0,355.0,18.2,3.47,5.4,134,12,10380.0,0,0.316
2026-01-19T19:00,0.0,0.0,0.0,0.0,0.0,0.0,1,40.0,16.0,345.0,17.9,2.96,6.1,120,27,7060.0,0,0.316
2026-01-19T20:00,0.0,0.0,0.0,0.0,0.0,0.0,1,20.0,1.0,355.0,17.5,3.16,5.6,113,47,6940.0,0,0.316
2026-01-19T21:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,4.0,325.0,17.1,2.75,5.6,106,63,7060.0,0,0.316
2026-01-19T22:00,0.1,0.0,0.1,0.0,0.0,0.0,51,10.0,0.0,315.0,16.6,3.15,5.5,90,100,6760.0,0,0.317
2026-01-19T23:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,0.0,360.0,16.4,3.92,7.0,79,100,8820.0,0,0.318
2026-01-20T00:00,0.0,0.0,0.0,0.0,0.0,0.0,2,20.0,0.0,300.0,16.7,3.82,8.3,101,59,6220.0,1,0.324
2026-01-20T01:00,0.0,0.0,0.0,0.0,0.0,0.0,2,10.0,0.0,355.0,17.2,3.84,7.0,98,76,10460.0,1,0.324
2026-01-20T02:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,0.0,450.0,17.7,4.4,8.6,89,92,14140.0,1,0.323
2026-01-20T03:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,0.0,585.0,18.1,5.37,10.7,81,100,18260.0,1,0.322
2026-01-20T04:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,7.0,495.0,17.1,4.85,10.8,76,100,18260.0,1,0.32
2026-01-20T05:00,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,7.0,480.0,16.2,4.77,9.7,67,39,18260.0,1,0.318
2026-01-20T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7.0,525.0,17.6,4.92,10.4,66,100,18260.0,1,0.317
2026-01-20T07:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7.0,485.0,17.5,4.81,10.5,63,92,18280.0,1,0.315
2026-01-20T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7.0,515.0,17.0,4.53,10.0,59,100,19700.0,1,0.313
2026-01-20T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7.0,445.0,14.7,4.44,9.5,56,100,19700.0,1,0.311
2026-01-20T10:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7.0,395.0,12.8,2.82,8.8,53,100,18280.0,1,0.31
2026-01-20T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7.0,410.0,12.0,1.47,5.6,35,100,18280.0,0,0.309
2026-01-20T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,7.0,375.0,11.6,2.39,3.6,61,100,18280.0,0,0.317
2026-01-20T13:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7.0,390.0,10.5,1.85,5.2,71,100,18280.0,0,0.316
2026-01-20T14:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7.0,395.0,9.7,1.8,4.2,46,100,16620.0,0,0.316
2026-01-20T15:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7.0,415.0,9.1,1.78,4.2,38,100,16620.0,0,0.315
2026-01-20T16:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7.0,425.0,8.7,1.4,4.1,35,100,16620.0,0,0.315
2026-01-20T17:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,7.0,415.0,8.3,1.74,4.0,18,100,16620.0,0,0.315
2026-01-20T18:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,7.0,405.0,8.5,2.67,4.5,17,100,9220.0,0,0.313
2026-01-20T19:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,6.0,405.0,7.7,2.47,5.8,36,100,10600.0,0,0.313
2026-01-20T20:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,6.0,435.0,7.4,1.53,5.2,19,100,10020.0,0,0.314
2026-01-20T21:00,0.1,0.1,0.0,0.0,0.0,0.0,51,10.0,6.0,445.0,6.8,1.77,4.4,25,100,4880.0,0,0.315
2026-01-20T22:00,0.4,0.4,0.0,0.0,0.0,0.0,51,10.0,6.0,465.0,6.5,1.95,4.4,29,100,5200.0,0,0.319
2026-01-20T23:00,0.4,0.4,0.0,0.0,0.0,0.0,51,10.0,6.0,480.0,6.2,1.79,4.5,18,100,4900.0,0,0.323
2026-01-21T00:00,0.2,0.2,0.0,0.0,0.0,0.0,51,10.0,5.0,485.0,6.3,3.29,4.5,33,100,5220.0,1,0.338
2026-01-21T01:00,0.2,0.2,0.0,0.0,0.0,0.0,51,10.0,6.0,475.0,6.1,2.79,6.3,36,100,7340.0,1,0.34
2026-01-21T02:00,0.2,0.2,0.0,0.0,0.0,0.0,51,0.0,6.0,480.0,5.9,3.02,6.3,39,100,5420.0,1,0.341
2026-01-21T03:00,0.2,0.2,0.0,0.0,0.0,0.0,51,0.0,6.0,475.0,5.8,2.51,6.3,46,100,9860.0,1,0.343
2026-01-21T04:00,0.1,0.1,0.0,0.0,0.0,0.0,51,0.0,6.0,545.0,6.8,3.14,7.1,22,100,5820.0,1,0.343
2026-01-21T05:00,0.1,0.1,0.0,0.0,0.0,0.0,51,0.0,6.0,525.0,6.7,2.83,6.8,13,100,10680.0,1,0.344
2026-01-21T06:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,6.0,580.0,7.7,3.76,6.6,25,100,9440.0,1,0.345
2026-01-21T07:00,0.1,0.1,0.0,0.0,0.0,0.0,51,10.0,6.0,550.0,7.2,3.18,7.6,30,100,11860.0,1,0.345
2026-01-21T08:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,6.0,590.0,7.9,2.67,6.7,30,100,18340.0,1,0.344
2026-01-21T09:00,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,6.0,630.0,8.0,2.78,5.9,30,100,17360.0,1,0.344
2026-01-21T10:00,0.1,0.1,0.0,0.0,0.0,0.0,51,10.0,6.0,555.0,7.1,2.7,6.0,39,100,9360.0,1,0.344
2026-01-21T11:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,6.0,520.0,6.7,2.62,5.7,43,100,18340.0,0,0.344
2026-01-21T12:00,0.0,0.0,0.0,0.0,0.0,0.0,3,10.0,6.0,440.0,5.6,2.91,5.8,41,100,14200.0,0,0.354
2026-01-21T13:00,0.1,0.1,0.0,0.0,0.0,0.0,51,10.0,0.0,410.0,5.2,2.75,6.1,33,99,7500.0,0,0.355
