event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2025-10-08T12:00,2025-10-08T21:00,10,9,0.76,1.4,7.6,0.573,0.0,0.0005,2
1,2025-10-09T00:00,2025-10-09T21:00,22,20,1.0,3.2,22.0,0.928,0.092,0.0028,5
2,2025-10-10T03:00,2025-10-10T05:00,3,3,0.433,0.5,1.3,0.133,0.0,0.0,2
3,2025-10-10T08:00,2025-10-10T19:00,12,12,1.267,3.2,15.2,0.736,0.066,0.0,10
4,2025-10-11T06:00,2025-10-11T07:00,2,2,0.6,0.7,1.2,0.236,0.0,0.0,15
5,2025-10-11T23:00,2025-10-12T05:00,7,7,0.929,1.4,6.5,0.411,0.0,0.001,90
6,2025-10-16T00:00,2025-10-16T02:00,3,3,0.733,1.0,2.2,0.315,0.711,0.0,13
7,2025-10-16T16:00,2025-10-16T18:00,3,3,0.767,1.2,2.3,0.494,0.0,0.0,3
8,2025-10-16T22:00,2025-10-17T07:00,10,10,1.21,2.2,12.1,0.4,0.037,0.003,486
9,2025-11-06T14:00,2025-11-07T01:00,12,12,0.6,0.9,7.2,0.341,0.012,0.0,2
10,2025-11-07T04:00,2025-11-07T09:00,6,6,0.95,1.6,5.7,0.556,0.0,0.0023,2664
11,2026-02-26T10:00,2026-02-26T11:00,2,2,0.3,0.3,0.6,0.0,0.167,0.0,246
12,2026-03-08T18:00,2026-03-08T18:00,1,1,1.4,1.4,1.4,0.0,1.0,0.0,106
13,2026-03-13T05:00,2026-03-13T09:00,5,4,0.32,0.4,1.6,0.261,0.0,0.0,2
14,2026-03-13T12:00,2026-03-13T15:00,4,3,0.35,0.6,1.4,0.495,0.0,0.0,2
15,2026-03-13T18:00,2026-03-13T19:00,2,2,0.45,0.6,0.9,0.471,0.0,0.0,9
16,2026-03-14T05:00,2026-03-14T07:00,3,3,0.3,0.3,0.9,0.0,0.0,0.0,338
17,2026-03-28T10:00,2026-03-28T14:00,5,5,1.52,2.4,7.6,0.647,0.655,0.0245,31
18,2026-03-29T22:00,2026-03-29T22:00,1,1,0.6,0.6,0.6,0.0,0.333,0.0,23
19,2026-03-30T22:00,2026-03-30T22:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,198
20,2026-04-08T05:00,2026-04-08T18:00,14,13,0.9,2.0,12.6,0.585,0.021,0.0,252
21,2026-04-19T07:00,2026-04-19T08:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,120
22,2026-04-24T09:00,2026-04-24T09:00,1,1,3.4,3.4,3.4,0.0,1.0,0.444,189
23,2026-05-02T07:00,2026-05-02T12:00,6,6,0.967,2.8,5.8,0.967,0.262,0.0135,98
24,2026-05-06T15:00,2026-05-06T15:00,1,1,0.5,0.5,0.5,0.0,1.0,0.0,93
25,2026-05-10T13:00,2026-05-10T13:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,112
26,2026-05-15T06:00,2026-05-15T06:00,1,1,1.1,1.1,1.1,0.0,0.727,0.0079,23
27,2026-05-16T06:00,2026-05-16T14:00,9,9,0.822,1.7,7.4,0.666,0.078,0.0037,5
28,2026-05-16T20:00,2026-05-16T21:00,2,2,0.8,1.2,1.6,0.707,0.709,0.0002,2
29,2026-05-17T00:00,2026-05-17T04:00,5,5,1.1,2.3,5.5,0.808,0.273,0.008,2
30,2026-05-17T07:00,2026-05-17T19:00,13,13,2.915,6.5,37.9,0.628,0.231,0.0112,56
31,2026-05-20T04:00,2026-05-20T04:00,1,1,0.3,0.3,0.3,0.0,0.333,0.0,37
32,2026-05-21T18:00,2026-05-22T04:00,11,11,0.909,1.7,10.0,0.51,0.194,0.0005,65
33,2026-05-24T22:00,2026-05-25T06:00,9,9,1.956,4.6,17.6,0.743,0.234,0.0135,8
34,2026-05-25T15:00,2026-05-25T18:00,4,4,1.025,1.3,4.1,0.269,0.021,0.0,2
35,2026-05-25T21:00,2026-05-26T01:00,5,4,0.36,0.5,1.8,0.421,0.17,0.0,2
36,2026-05-26T04:00,2026-05-26T04:00,1,1,0.4,0.4,0.4,0.0,1.0,0.0,170
37,2026-06-02T07:00,2026-06-02T07:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,23
38,2026-06-03T07:00,2026-06-03T12:00,6,5,1.15,3.2,6.9,0.971,0.404,0.11,48
39,2026-06-05T13:00,2026-06-06T02:00,14,14,1.286,3.4,18.0,0.745,0.396,0.115,55
40,2026-06-08T10:00,2026-06-08T10:00,1,1,0.3,0.3,0.3,0.0,1.0,0.0,101
41,2026-06-12T16:00,2026-06-12T17:00,2,2,0.65,0.8,1.3,0.326,0.0,0.0,62
42,2026-06-15T08:00,2026-06-15T09:00,2,2,0.6,0.8,1.2,0.471,0.5,0.0,83
43,2026-06-18T21:00,2026-06-18T22:00,2,2,0.85,1.4,1.7,0.915,0.822,0.029,128
