event_id,start_utc,end_utc,hours,audible_hours,liquid_mean_mm,liquid_max_mm,liquid_sum_mm,burstiness,showers_frac_mean,thunder_score_max,gap_to_next
0,2026-01-25T23:00,2026-01-26T09:00,11,10,0.518,1.0,5.7,0.494,0.0,0.0,80
1,2026-01-29T18:00,2026-01-30T20:00,27,27,0.781,1.7,21.1,0.445,0.0,0.0004,117
2,2026-02-04T18:00,2026-02-04T20:00,3,3,0.567,0.9,1.7,0.509,0.0,0.0,22
3,2026-02-05T19:00,2026-02-05T22:00,4,4,0.55,0.7,2.2,0.315,0.0,0.0,8
4,2026-02-06T07:00,2026-02-06T12:00,6,6,0.6,0.8,3.6,0.316,0.0,0.0,75
5,2026-02-09T16:00,2026-02-09T18:00,3,3,0.367,0.5,1.1,0.315,0.111,0.0,13
6,2026-02-10T08:00,2026-02-10T08:00,1,1,1.0,1.0,1.0,0.0,1.0,0.0,129
7,2026-02-15T18:00,2026-02-16T01:00,8,8,1.825,3.6,14.6,0.54,0.113,0.0033,5
8,2026-02-16T07:00,2026-02-16T08:00,2,2,0.3,0.3,0.6,0.0,0.0,0.0,178
9,2026-02-23T19:00,2026-02-23T22:00,4,4,0.75,1.5,3.0,0.726,0.239,0.0031,46
10,2026-02-25T21:00,2026-02-26T21:00,25,24,0.86,1.8,21.5,0.55,0.036,0.0045,2
11,2026-02-27T00:00,2026-02-27T00:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,40
12,2026-02-28T17:00,2026-02-28T18:00,2,2,0.5,0.5,1.0,0.0,0.9,0.0,5
13,2026-03-01T00:00,2026-03-01T15:00,16,16,1.119,2.4,17.9,0.562,0.031,0.0041,234
14,2026-03-11T10:00,2026-03-11T11:00,2,2,0.55,0.7,1.1,0.386,0.357,0.0,99
15,2026-03-15T15:00,2026-03-15T15:00,1,1,0.5,0.5,0.5,0.0,0.0,0.0,2
16,2026-03-15T18:00,2026-03-15T20:00,3,3,0.367,0.4,1.1,0.157,0.0,0.0,11
17,2026-03-16T08:00,2026-03-17T00:00,17,16,0.8,1.9,13.6,0.557,0.113,0.0011,11
18,2026-03-17T12:00,2026-03-17T14:00,3,3,1.0,2.0,3.0,0.866,0.283,0.0,6
19,2026-03-17T21:00,2026-03-17T22:00,2,2,0.5,0.6,1.0,0.283,0.459,0.0,7
20,2026-03-18T06:00,2026-03-18T12:00,7,7,1.129,2.1,7.9,0.543,0.0,0.0028,136
21,2026-03-24T05:00,2026-03-24T10:00,6,6,0.967,1.5,5.8,0.417,0.014,0.0013,57
22,2026-03-26T20:00,2026-03-27T00:00,5,4,0.48,0.7,2.4,0.475,0.671,0.0,67
23,2026-03-29T20:00,2026-03-30T05:00,10,10,1.11,2.4,11.1,0.635,0.319,0.0245,26
24,2026-03-31T08:00,2026-03-31T12:00,5,5,1.96,2.9,9.8,0.481,0.0,0.0024,63
25,2026-04-03T04:00,2026-04-03T13:00,10,10,1.1,2.3,11.0,0.669,0.011,0.0049,13
26,2026-04-04T03:00,2026-04-04T04:00,2,2,0.4,0.4,0.8,0.0,0.625,0.0,113
27,2026-04-08T22:00,2026-04-08T23:00,2,2,6.85,8.2,13.7,0.279,1.0,0.315,13
28,2026-04-09T13:00,2026-04-09T15:00,3,3,1.233,2.4,3.7,0.828,0.0,0.0,39
29,2026-04-11T07:00,2026-04-11T12:00,6,5,0.833,1.5,5.0,0.651,0.167,0.0,7
30,2026-04-11T20:00,2026-04-11T20:00,1,1,0.3,0.3,0.3,0.0,0.0,0.0,3
31,2026-04-12T00:00,2026-04-12T02:00,3,3,2.1,3.7,6.3,0.675,0.502,0.0203,36
32,2026-04-13T15:00,2026-04-13T20:00,6,6,1.017,2.3,6.1,0.781,0.425,0.0008,46
33,2026-04-15T19:00,2026-04-15T20:00,2,2,0.5,0.5,1.0,0.0,1.0,0.0,2
34,2026-04-15T23:00,2026-04-15T23:00,1,1,0.5,0.5,0.5,0.0,0.8,0.0,8
35,2026-04-16T08:00,2026-04-16T10:00,3,3,0.467,0.8,1.4,0.619,0.125,0.0,120
36,2026-04-21T11:00,2026-04-22T01:00,15,15,1.307,3.0,19.6,0.635,0.06,0.0075,3
37,2026-04-22T05:00,2026-04-22T10:00,6,6,0.883,1.3,5.3,0.388,0.446,0.0004,3
38,2026-04-22T14:00,2026-04-22T21:00,8,8,0.688,1.0,5.5,0.315,0.031,0.0,3
